path	sentence
common_voice_ha_26692998.mp3	Falmata ta rufe kanta a ɗakinta tana kuka kusan awa daya.
common_voice_ha_26693002.mp3	An tuhumi Hassan da fitar da wasu muhimman bayanai.
common_voice_ha_26693005.mp3	Georege ya zana da'ira da sanda.
common_voice_ha_26693006.mp3	Tana karatun digiri ne na Ivy League.
common_voice_ha_26693872.mp3	Abdullahi ya ce Zulai ba ta da tabbacin ko Hassan zai yi haka.
common_voice_ha_26693873.mp3	Duk abinda na zama yau dalilin kawuna ne.
common_voice_ha_26693874.mp3	Yayinda likita ya bi gawar mara lafiya, abin ya dame shi sosai.
common_voice_ha_26693875.mp3	Ina tantama.
common_voice_ha_26693876.mp3	Meg yana sha'awar sanin komai game da Japan.
common_voice_ha_26694102.mp3	Bude kofar. Na san kina ciki.
common_voice_ha_26694103.mp3	Babangida wataƙila ba zai zama mai wayo kamar yadda kake tsammani ba.
common_voice_ha_26694104.mp3	Ibrahim ya ce ya ga Hafsat da safiyar nan.
common_voice_ha_26694105.mp3	Ba wani daga cikin iyalaina da zai yi haka.
common_voice_ha_26694106.mp3	Yi hakuri game da abinda ya faru jiya.
common_voice_ha_26716611.mp3	Ina fatan wannan ya isa haka.
common_voice_ha_26716612.mp3	Khalifat ya faɗa mini cewa tana cikin koshin lafiya.
common_voice_ha_26716613.mp3	Ina ɗaukar wata hanya dabam.
common_voice_ha_26716614.mp3	Ibrahim uwana yana karatu a Boston domin zama malami.
common_voice_ha_26716615.mp3	Faɗa mini wunin ka a yau.
common_voice_ha_26716781.mp3	Yana da haɗari fiye da yadda na yi tunani.
common_voice_ha_26716782.mp3	Aliyu ya yi ta samun nasara.
common_voice_ha_26716783.mp3	Halinsa koyaushe abin daraja ne.
common_voice_ha_26716784.mp3	Kada a sha ciyawar shinkafa ɗaya!
common_voice_ha_26716785.mp3	Mr. Wood ya zo kofa kuma yayi magana da maman Tony.
common_voice_ha_26716816.mp3	Ko akwai wajen da za mu iya magana cikin sirri?
common_voice_ha_26716817.mp3	Da alama Ibrahim zai kawo mana ziyarar bazara.
common_voice_ha_26716818.mp3	Baki ɗaya na rasa yadda zan yi.
common_voice_ha_26716819.mp3	Ya kaini ƙarshe.
common_voice_ha_26716820.mp3	Kana jin za ka iya taimakawa Habibu ta haka?
common_voice_ha_26716821.mp3	Littafin da na sayo na kan tebur.
common_voice_ha_26716822.mp3	Su na cin zuma da biredi.
common_voice_ha_26716823.mp3	Ya yi arziƙi ta hanyar rubuta littattafan da suka shahara.
common_voice_ha_26716825.mp3	Habibu ya kasa samar da shaidar da za ta taimakawa bayanan sa.
common_voice_ha_26716826.mp3	Mr. Wood ya sa sakatariyarsa ta buga wasiƙunsa.
common_voice_ha_26716887.mp3	Ba zan iya tuna takamaiman abinda Abdullahi ya fada ba.
common_voice_ha_26716888.mp3	Baki daya burina ya kare a mafarki.
common_voice_ha_26716889.mp3	Jauro ya shirya kashe Amsaam.
common_voice_ha_26716890.mp3	Arziƙin mutumin na da girma, sai dai kuma faɗansa ya yi yawa.
common_voice_ha_26716891.mp3	Zafin ya shiga cikin kafafuwana na dama.
common_voice_ha_26716899.mp3	yana faruwane a tsakiyar kirji na
common_voice_ha_26716900.mp3	Hatta doki mafi sauri kafafu huɗu ne da shi.
common_voice_ha_26716902.mp3	Bai haɗa da dukan ƙuntatawa ba, amma har yanzu yana da amfani.
common_voice_ha_26716903.mp3	Ke yarinya mai ban dariya.
common_voice_ha_26716924.mp3	Tabbas za mu taimaka masa.
common_voice_ha_26716925.mp3	Dangane da Apple da Google, tsarin yana da niyyar yin birgima a matakai uku:
common_voice_ha_26716926.mp3	Na bar gida da wuri domin na halarci taron kan lokaci.
common_voice_ha_26716927.mp3	Wandunanka sun yi dauɗa.
common_voice_ha_26716928.mp3	Me ya sa ba ki gaya musu su tafi ba?
common_voice_ha_26716951.mp3	Taimaka ka wanke.
common_voice_ha_26716952.mp3	Doka ta taƙaita dukkan ƙarfin da take bayarwa.
common_voice_ha_26716953.mp3	Ba na jin za mu iya dogara da shi.
common_voice_ha_26716954.mp3	Tiyatan jiya ne aka yi.
common_voice_ha_26716955.mp3	Ban fahimci rabin abinda ta faɗa ba.
common_voice_ha_26716962.mp3	Wani mutum mai cike da ciki yana tunanin babu wanda yake jin yunwa.
common_voice_ha_26716963.mp3	Filin ya cika da tarin dusar ƙanƙara.
common_voice_ha_26716965.mp3	Jami ya sake rasa wayar sa.
common_voice_ha_26716967.mp3	Aliko ya kusa kammalawa a nan.
common_voice_ha_26796130.mp3	Ba na tsammanin dole ne mu yi hakan.
common_voice_ha_26796134.mp3	Shin baka son Babangida ya ji dadi?
common_voice_ha_26796135.mp3	Lokacin da ya shiga cikin ginin, ya tsorata sakamakon jin kuka kwatsam.
common_voice_ha_26796350.mp3	Na samu sako ne a akan cewa kawai an soke taro.
common_voice_ha_26796351.mp3	Tijjani da Jummai za su yi duk abinda aka sa su yi.
common_voice_ha_26796352.mp3	Akwai wahala, amma ya cancanci ko wane digon zaki.
common_voice_ha_26796354.mp3	Na yi tunannin shi kyakkyawa ne
common_voice_ha_26796355.mp3	Ko me za a yi Ibrahima mutumin ƙwarai ne.
common_voice_ha_26796473.mp3	Wasu ayyukan suna da muhimmanci.
common_voice_ha_26796476.mp3	Kada wata ƙasa ta shiga harkokin cikin gidan wata ƙasar.
common_voice_ha_26796477.mp3	Gordon ya shiga wani yanayi gaba daya satin nan.
common_voice_ha_26796478.mp3	Ina son zuwa gonarsa lokacin hutun bazara.
common_voice_ha_26796580.mp3	Hafsat ta ce ta gano akan banci.
common_voice_ha_26796581.mp3	Habibu yace ya saba da irin wannan aikin.
common_voice_ha_26796582.mp3	Ishaku ya fara halartar cocin ibilisai.
common_voice_ha_26796583.mp3	A gayawa sakataren ofishin ya zuba kayan a wajen ajiya.
common_voice_ha_26796584.mp3	Mutuwar kakar babbar asara ce ga dukkan iyalin.
common_voice_ha_26796675.mp3	Mustapha ya jefa hancin apple a bolar gwangwanaye.
common_voice_ha_26796677.mp3	Sha-sha-sha — kamar ganga kowa ya buga ya wuce.
common_voice_ha_26796679.mp3	Hanyar ta ci gaba kai tsaye don mil tsawon ƙarewa.
common_voice_ha_26796680.mp3	Waye yake buga ƙofa wannan a lokacin?
common_voice_ha_26796683.mp3	Ƴan rawar sun yi matuƙar kyau cikin fararen kayan, ga ƙarfi tamkar dawakai.
common_voice_ha_26796774.mp3	Aliyu ya ce Hamsatu ta so taimaka mana.
common_voice_ha_26796775.mp3	Mr. Hunt ne shugaban makarantar mu.
common_voice_ha_26796776.mp3	Akwai manyan macizai a wannan tsibirin.
common_voice_ha_26796780.mp3	Na yi tsammanin Amsa za ta yi hakan.
common_voice_ha_26796782.mp3	Abdullahi yana da yara kanana.
common_voice_ha_26796834.mp3	Tana yin haka ne idan ta na cikin fushi.
common_voice_ha_26796835.mp3	Ta ce ji haushi sosai.
